deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.990293) : (0.991161)) : (x<50 ? 0.990658:0.990722)) : (x<100 ? (x<80 ? (x<70 ? 0.990432:0.99036) : (0.990374)) : (x<120 ? 0.990567:0.991358))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993122:0.992543) : (0.991305)) : (x<400 ? 0.986169:0.98326)) : (x<800 ? (x<670 ? 0.983075:0.982597) : (x<1000 ? 0.973026:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03645) : (1.02102)) : (x<50 ? 1.0181:1.0205)) : (x<100 ? (x<80 ? (x<70 ? 1.02018:1.02459) : (1.02316)) : (x<120 ? 1.02341:1.02461))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02398:1.02163) : (1.02009)) : (x<400 ? 1.02032:1.0526)) : (x<800 ? (x<670 ? 1.05355:1.0707) : (x<1000 ? 1.0118:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.299) : (1.33561)) : (x<50 ? 1.37219:1.38385)) : (x<100 ? (x<80 ? (x<70 ? 1.39936:1.41451) : (1.42224)) : (x<120 ? 1.43221:1.47208))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.54286:1.59902) : (1.65888)) : (x<400 ? 1.75496:1.79759)) : (x<800 ? (x<670 ? 1.93348:2.05626) : (x<1000 ? 2.44205:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971588) : (0.977657)) : (x<50 ? 0.979318:0.980462)) : (x<100 ? (x<80 ? (x<70 ? 0.980713:0.981045) : (0.981202)) : (x<120 ? 0.981536:0.982298))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983476:0.981888) : (0.979876)) : (x<400 ? 0.974212:0.969299)) : (x<800 ? (x<670 ? 0.96662:0.956651) : (x<1000 ? 0.942558:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.94512) : (0.9404)) : (x<50 ? 0.939482:0.939933)) : (x<100 ? (x<80 ? (x<70 ? 0.938955:0.943809) : (0.942587)) : (x<120 ? 0.94494:0.946881))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946632:0.943203) : (0.938895)) : (x<400 ? 0.941664:0.964279)) : (x<800 ? (x<670 ? 0.954521:0.966291) : (x<1000 ? 0.890587:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01164) : (1.03834)) : (x<50 ? 1.06097:1.07222)) : (x<100 ? (x<80 ? (x<70 ? 1.08866:1.10233) : (1.11146)) : (x<120 ? 1.13126:1.1728))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.22515:1.2727) : (1.32089)) : (x<400 ? 1.38057:1.42783)) : (x<800 ? (x<670 ? 1.523:1.54558) : (x<1000 ? 1.87718:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.009) : (1.00467)) : (x<50 ? 1.002:1.00098)) : (x<100 ? (x<80 ? (x<70 ? 1.00015:0.999675) : (0.999546)) : (x<120 ? 0.999597:1.00042))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00277:1.0032) : (1.00273)) : (x<400 ? 0.998126:0.99722)) : (x<800 ? (x<670 ? 0.99953:1.00854) : (x<1000 ? 1.00349:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12777) : (1.10164)) : (x<50 ? 1.09672:1.10106)) : (x<100 ? (x<80 ? (x<70 ? 1.10141:1.10538) : (1.10374)) : (x<120 ? 1.10189:1.10233))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10132:1.10007) : (1.10129)) : (x<400 ? 1.09897:1.14092)) : (x<800 ? (x<670 ? 1.15258:1.1751) : (x<1000 ? 1.133:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.58635) : (1.63288)) : (x<50 ? 1.68341:1.69548)) : (x<100 ? (x<80 ? (x<70 ? 1.71006:1.72669) : (1.73302)) : (x<120 ? 1.73316:1.77135))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.86058:1.92534) : (1.99687)) : (x<400 ? 2.12935:2.16735)) : (x<800 ? (x<670 ? 2.34396:2.56695) : (x<1000 ? 3.00692:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.966665) : (0.97686)) : (x<50 ? 0.978883:0.979339)) : (x<100 ? (x<80 ? (x<70 ? 0.978588:0.977654) : (0.976404)) : (x<120 ? 0.976335:0.978268))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983437:0.982942) : (0.97852)) : (x<400 ? 0.963702:0.960205)) : (x<800 ? (x<670 ? 0.94513:0.948843) : (x<1000 ? 0.93375:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04197) : (1.07377)) : (x<50 ? 1.08088:1.08509)) : (x<100 ? (x<80 ? (x<70 ? 1.08536:1.08586) : (1.07518)) : (x<120 ? 1.07155:1.06178))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05144:1.03697) : (1.01419)) : (x<400 ? 0.992818:0.9923)) : (x<800 ? (x<670 ? 0.989803:0.987677) : (x<1000 ? 0.978545:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.32339) : (1.38863)) : (x<50 ? 1.43481:1.4636)) : (x<100 ? (x<80 ? (x<70 ? 1.51073:1.53997) : (1.54947)) : (x<120 ? 1.6318:1.73253))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.85612:1.93767) : (1.95466)) : (x<400 ? 2.24214:2.13819)) : (x<800 ? (x<670 ? 2.31836:2.8985) : (x<1000 ? 2.30796:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932555) : (0.949752)) : (x<50 ? 0.954514:0.956444)) : (x<100 ? (x<80 ? (x<70 ? 0.956199:0.955781) : (0.954648)) : (x<120 ? 0.953783:0.954348))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.955876:0.950362) : (0.941329)) : (x<400 ? 0.923298:0.915339)) : (x<800 ? (x<670 ? 0.897667:0.889983) : (x<1000 ? 0.855887:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.871161) : (0.89081)) : (x<50 ? 0.892482:0.89284)) : (x<100 ? (x<80 ? (x<70 ? 0.88998:0.890298) : (0.883969)) : (x<120 ? 0.883088:0.876298))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.871984:0.86194) : (0.842826)) : (x<400 ? 0.824544:0.831126)) : (x<800 ? (x<670 ? 0.824237:0.823507) : (x<1000 ? 0.761202:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.982861) : (1.01966)) : (x<50 ? 1.04035:1.04829)) : (x<100 ? (x<80 ? (x<70 ? 1.07525:1.09618) : (1.10776)) : (x<120 ? 1.13929:1.18791))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.26914:1.3269) : (1.3429)) : (x<400 ? 1.52828:1.48184)) : (x<800 ? (x<670 ? 1.64131:1.79012) : (x<1000 ? 1.86211:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00078) : (1.00397)) : (x<50 ? 1.00325:1.00223)) : (x<100 ? (x<80 ? (x<70 ? 1.00098:0.999527) : (0.99816)) : (x<120 ? 0.998887:1.00219))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.011:1.01552) : (1.01571)) : (x<400 ? 1.00411:1.00507)) : (x<800 ? (x<670 ? 0.992593:1.0077) : (x<1000 ? 1.01161:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.21278) : (1.25673)) : (x<50 ? 1.26927:1.27733)) : (x<100 ? (x<80 ? (x<70 ? 1.28075:1.28142) : (1.2664)) : (x<120 ? 1.26001:1.24726))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.2309:1.212) : (1.18555)) : (x<400 ? 1.16109:1.15347)) : (x<800 ? (x<670 ? 1.15537:1.15185) : (x<1000 ? 1.19589:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.66392) : (1.75759)) : (x<50 ? 1.82928:1.87891)) : (x<100 ? (x<80 ? (x<70 ? 1.94621:1.98376) : (1.99118)) : (x<120 ? 2.1243:2.27715))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.4431:2.54844) : (2.56643)) : (x<400 ? 2.95601:2.79455)) : (x<800 ? (x<670 ? 2.99541:4.00688) : (x<1000 ? 2.75382:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.950842) : (0.962364)) : (x<50 ? 0.963794:0.964018)) : (x<100 ? (x<80 ? (x<70 ? 0.961439:0.95846) : (0.956015)) : (x<120 ? 0.954115:0.9541))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.957559:0.95279) : (0.944689)) : (x<400 ? 0.933033:0.924654)) : (x<800 ? (x<670 ? 0.899987:0.881549) : (x<1000 ? 0.832984:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07741) : (1.09295)) : (x<50 ? 1.0918:1.07693)) : (x<100 ? (x<80 ? (x<70 ? 1.06264:1.0512) : (1.0243)) : (x<120 ? 1.00283:1.00283))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.959751:0.919908) : (0.864647)) : (x<400 ? 0.794976:0.814886)) : (x<800 ? (x<670 ? 0.796404:0.690778) : (x<1000 ? 0.822505:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.29257) : (1.37004)) : (x<50 ? 1.40109:1.45096)) : (x<100 ? (x<80 ? (x<70 ? 1.46277:1.46427) : (1.48289)) : (x<120 ? 1.50986:1.53484))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.55359:1.55198) : (1.49607)) : (x<400 ? 1.99619:2.13136)) : (x<800 ? (x<670 ? 1.69866:2.87143) : (x<1000 ? 0.956105:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.897302) : (0.921547)) : (x<50 ? 0.928098:0.930645)) : (x<100 ? (x<80 ? (x<70 ? 0.928917:0.926586) : (0.924571)) : (x<120 ? 0.922243:0.921934))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.92221:0.913189) : (0.900362)) : (x<400 ? 0.883316:0.871778)) : (x<800 ? (x<670 ? 0.840611:0.81047) : (x<1000 ? 0.760897:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.824669) : (0.838481)) : (x<50 ? 0.844001:0.834271)) : (x<100 ? (x<80 ? (x<70 ? 0.826562:0.821946) : (0.805559)) : (x<120 ? 0.79206:0.797562))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.768986:0.748868) : (0.701046)) : (x<400 ? 0.644628:0.661775)) : (x<800 ? (x<670 ? 0.650506:0.528106) : (x<1000 ? 0.570793:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.874093) : (0.932861)) : (x<50 ? 0.963175:1.00015)) : (x<100 ? (x<80 ? (x<70 ? 1.02832:1.03462) : (1.05167)) : (x<120 ? 1.08935:1.12425))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14922:1.11783) : (1.14581)) : (x<400 ? 1.38406:1.50528)) : (x<800 ? (x<670 ? 1.20536:1.9324) : (x<1000 ? 0.573789:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00438) : (1.00318)) : (x<50 ? 0.99949:0.997391)) : (x<100 ? (x<80 ? (x<70 ? 0.993962:0.990334) : (0.987459)) : (x<120 ? 0.985987:0.986266))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992907:0.992391) : (0.989016)) : (x<400 ? 0.982749:0.977529)) : (x<800 ? (x<670 ? 0.959364:0.952628) : (x<1000 ? 0.905071:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.33015) : (1.34742)) : (x<50 ? 1.33959:1.3196)) : (x<100 ? (x<80 ? (x<70 ? 1.29871:1.28045) : (1.24305)) : (x<120 ? 1.2136:1.20809))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15052:1.09095) : (1.02825)) : (x<400 ? 0.945325:0.967997)) : (x<800 ? (x<670 ? 0.942301:0.85345) : (x<1000 ? 1.07422:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.71104) : (1.80723)) : (x<50 ? 1.839:1.90178)) : (x<100 ? (x<80 ? (x<70 ? 1.89722:1.89393) : (1.91411)) : (x<120 ? 1.93036:1.94542))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.95796:1.98613) : (1.84633)) : (x<400 ? 2.60832:2.75743)) : (x<800 ? (x<670 ? 2.19197:3.81046) : (x<1000 ? 1.33842:0)))" 
